Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;AB3440-202J-HD01;INV;;;;1;;;;;;;1;;;;
;AB3448-901SP01;INV;;;2;;;;;;;;;;;1;
;AB3449-900SP01;INV;9;20;27;18;18;;1;;;1;;;;2;
;AB3455013601;INV;;;;;2;;;;;;;;;;
;AB3455013701;INV;;;;;19;;;;;;;;;;
;AB3465-3F01;INV;73;106;162;55;48;;1;;1;2;;1;2;;
;AB3465-3F01;PKG;30;44;19;57;56;;;1;8;;1;1;;;
;AB3465-3S01;INV;30;58;49;62;39;-1;;;;2;1;1;;;
;AB3465-3S01;PKG;153;132;191;136;90;5;13;16;38;;;8;;;
;AB3466-301;INV;23;36;66;23;23;;4;;3;;2;-3;-1;;
;AB3466-301;PKG;239;225;421;211;175;15;4;43;47;19;13;14;9;7;
;AB3466-6001;PKG;1;;;1;1;;;;;;1;;;;
;AB347001;INV;63;110;109;58;93;9;16;7;18;4;3;2;12;21;3
;AB347001;PKG;;8;255;273;262;5;8;14;12;11;10;6;15;32;
;AB347101;INV;85;104;147;104;109;7;18;5;1;6;39;10;1;31;
;AB347101;PKG;;;5;1;5;;;;;;;;;1;
;AB3471-301;INV;;13;8;10;3;6;;;;6;;;6;;
;AB3490-301;INV;99;194;79;144;164;4;17;54;58;38;21;5;1;15;
;AB3497-3B01;INV;50;77;15;42;39;;20;11;35;17;2;;;3;
;AB3497-3C01;INV;17;17;35;53;9;;;1;;;;;;;
;AB3497-3E01;INV;24;46;75;56;30;;1;;;;8;;;4;
;AB3497-3E01;PKG;36;33;32;41;10;2;;;;;;8;;;
;AB3497-3G01;INV;8;20;4;12;4;;1;1;;;;1;;;
;AB3497-3G01;PKG;4;3;15;3;3;;4;;8;;2;;5;14;
;AB3497-900SP01;INV;6;;1;2;;;;;;;1;;;1;
;AB3525-900SP01;INV;7;20;13;26;16;1;;3;;1;;;3;3;
;AB3525-901SP01;INV;2;5;7;10;7;1;;;;;;;;;
;AB3535-301;INV;9;12;1;1;;;;;;;;;;;
;AB3554-914SP01;INV;1;1;;1;;;;;;;;;;;
;AB3574-3B01;INV;16;18;12;;;;;;;;;;;;
;AB3574-3C01;INV;53;95;71;6;;;;;;;;1;;;
;AB3702-3201;INV;4;3;25;14;12;2;;;;;1;;2;3;
;AB3702-3201;PKG;;1;;;;;;;;;;;;;
;AB3724-301;INV;41;48;44;68;97;1;1;2;;7;15;;;5;
;AB3750-301;INV;29;40;100;63;61;13;21;40;46;9;;15;3;5;
;AB3761-1301;INV;6;14;21;11;16;5;;;3;;;;;;
;AB3761-301;INV;20;20;16;15;30;6;-3;;;;;;;;1
;AB3761-301;PKG;;;;;6;1;6;10;14;2;4;;2;6;2
;AB3772-301;INV;22;33;16;12;16;;1;;5;1;;1;;1;
;AB3772-301;PKG;134;87;234;109;77;2;5;16;9;4;9;14;8;6;1
;AB3778-301;INV;1;1;2;;1;;;;;;;;;;
;AB3779-301;INV;2;;;;;;;;;;;;;;
;AB3781-301;INV;40;35;41;20;47;1;1;;4;1;4;2;15;;
;AB3781-301;PKG;94;69;198;40;34;3;2;2;7;;10;9;2;10;1
;AB3796-301;INV;6;1;;;;;;;;;;;;;
;AB3818-301;INV;1;1;2;18;1;1;;;;;;;;;
;AB3819-301;INV;14;3;10;2;8;;-2;;-1;;1;;;;
;AB3819-301;PKG;131;127;115;123;77;1;7;2;2;14;12;8;5;4;
;AB3819-902SP01;INV;;1;;;;;;;;;;;;;
;AB3821-301;INV;14;17;9;13;14;1;;;3;;;-3;;;
;AB3821-301;PKG;99;100;146;67;93;4;1;41;42;13;3;2;1;1;
;AB3826-301;INV;5;13;12;;;;;;;;;;;;
;AB3835005601;INV;;;;;18;;;;;;;;;;
;AB3881-301;INV;10;23;110;27;18;0;;;8;2;;11;10;;
;AB3881-301;PKG;40;59;106;69;55;3;3;4;2;1;8;5;10;14;1
;AB3882-301;INV;0;2;1;;2;;;;;;;;;;
;AB3884-301;INV;4;;21;9;;;;;;;;;;;
;AB390101;INV;15;14;26;21;11;1;1;1;;;;;;2;
;AB3901-301;INV;72;86;184;90;56;3;3;3;3;18;;10;6;;1
;AB3901-903SP01;INV;2;3;3;6;1;;;;;;;;;;
;AB3902-301;INV;111;175;133;118;200;2;36;49;59;43;7;4;12;3;
;AB3902-904SP01;INV;;;;1;;;;;;;;;;;
;AB390601;INV;27;24;29;19;14;;9;;1;1;1;1;1;;
;AB391001;INV;75;45;56;60;51;2;6;;2;2;1;3;1;;
;AB391301;INV;8;7;11;12;4;2;-1;;-1;;3;;2;;
;AB391401;INV;64;47;44;43;48;1;1;3;1;2;;2;1;1;
;AB391401;PKG;36;53;52;33;13;4;1;4;9;2;;3;3;;
;AB398001;INV;3;2;1;;;;;;;;1;1;1;;
;AB398101;INV;6;7;9;13;;;;;;;1;1;3;;
